PositionTitle,PositionURI,PositionLocation,Salary_range,RateIntervalCode,AgencyContactEmail,AgencyContactPhone,JobSummary,Grade,ApplyOnlineUrl,Organization_name,Organization_dept,JobCategory,Payplans,EmploymentType,PositionOfferingType,PositionStartDate,ApplicationCloseDate
General Engineer (12 Month Roster),https://www.usajobs.gov:443/GetJob/ViewDetails/719315900,"Chicago, Illinois",116393.0 - 183500.0,Per Year, N/A,866-743-5748,"Click on ""Learn more about this agency"" button below to view Eligibilities being considered and other IMPORTANT information. WHERE CAN I FIND OUT MORE ABOUT OTHER IRS CAREERS? Visit us on the web at www.jobs.irs.gov",14,https://apply.usastaffing.gov/Application/Apply,Internal Revenue Service,Department of the Treasury,General Engineering,GS,Full-time,Permanent,2023-04-13T10:19:48.2570,2024-01-24T23:59:59.9970
General Engineer,https://www.usajobs.gov:443/GetJob/ViewDetails/693743000,"Chicago, Illinois",94373.0 - 150703.0,Per Year, N/A,866-743-5748,"Click on ""Learn more about this agency"" button below to view Eligibilities being considered and other IMPORTANT information. WHERE CAN I FIND OUT MORE ABOUT OTHER IRS CAREERS? Visit us on the web at www.jobs.irs.gov",13,https://apply.usastaffing.gov/Application/Apply,Internal Revenue Service,Department of the Treasury,General Engineering,GS,Full-time,Permanent,2022-12-15T00:00:00.0000,2023-09-28T23:59:59.9970
Civil Engineer,https://www.usajobs.gov:443/GetJob/ViewDetails/734605200,"Chicago, Illinois",53937.0 - 96414.0,Per Year,gphireme@usbr.gov,406-247-7696,"Reclamation is seeking a career professional looking for an opportunity to capitalize on their expertise as a Civil Engineer. Make a difference in the West by assisting in meeting increasing water demands while protecting the environment. Duty Location: Billings, Montana, Location Negotiable After Selection, United States, Loveland, Colorado, and Pueblo, Colorado For living conditions go to: https://www.usbr.gov/gp/employment/living_conditions.pdf",5 - 9,https://apply.usastaffing.gov/Application/Apply,Bureau of Reclamation,Department of the Interior,Civil Engineering,GS,Full-time,Permanent,2023-06-30T00:00:00.0000,2023-12-29T23:59:59.9970
Public Notice for Aerospace Engineer-Flight Test (Direct Hire),https://www.usajobs.gov:443/GetJob/ViewDetails/721036500,"West Chicago, Illinois; Chicago, Illinois",49773.0 - 92690.0,Per Year,gloria.gatan@faa.gov,1 (206) 231-4192,Direct hiring authority for 0861 series is being used to fill this position. This position may be used to fill bargaining and non-bargaining unit positions.,H - G,https://jobs.faa.gov/Login/Apply,Federal Aviation Administration,Department of Transportation,Aerospace Engineering,FV,Full-time,Permanent,2023-04-21T00:00:00.0000,2024-04-18T23:59:59.9970
Public Notice for Aerospace Engineer-Mechanical (Direct Hire),https://www.usajobs.gov:443/GetJob/ViewDetails/721036800,"West Chicago, Illinois; Chicago, Illinois",49773.0 - 92690.0,Per Year,gloria.gatan@faa.gov,1 (206) 231-4192,Direct hiring authority for 0861 series is being used to fill this position. This position may be used to fill bargaining and non-bargaining unit positions.,H - G,https://jobs.faa.gov/Login/Apply,Federal Aviation Administration,Department of Transportation,Aerospace Engineering,FV,Full-time,Permanent,2023-04-21T00:00:00.0000,2024-04-18T23:59:59.9970
Public Notice for Aerospace Engineer-Cabin Safety (Direct Hire),https://www.usajobs.gov:443/GetJob/ViewDetails/721037200,"West Chicago, Illinois; Chicago, Illinois",49773.0 - 92690.0,Per Year,gloria.gatan@faa.gov,1 (206) 231-4192,Direct hiring authority for 0861 series is being used to fill this position. This position may be used to fill bargaining and non-bargaining unit positions.,H - G,https://jobs.faa.gov/Login/Apply,Federal Aviation Administration,Department of Transportation,Aerospace Engineering,FV,Full-time,Permanent,2023-04-21T00:00:00.0000,2024-04-18T23:59:59.9970
Public Notice for Aerospace Engineer-Electrical/Avionics (Direct Hire),https://www.usajobs.gov:443/GetJob/ViewDetails/721037400,"West Chicago, Illinois; Chicago, Illinois",49773.0 - 92690.0,Per Year,gloria.gatan@faa.gov,1 (206) 231-4192,Direct hiring authority for 0861 series is being used to fill this position. This position may be used to fill bargaining and non-bargaining unit positions.,H - G,https://jobs.faa.gov/Login/Apply,Federal Aviation Administration,Department of Transportation,Aerospace Engineering,FV,Full-time,Permanent,2023-04-21T00:00:00.0000,2024-04-18T23:59:59.9970
Public Notice for Aerospace Engineer-Airframe (Direct Hire),https://www.usajobs.gov:443/GetJob/ViewDetails/721038100,"West Chicago, Illinois; Chicago, Illinois",49773.0 - 92690.0,Per Year,gloria.gatan@faa.gov,1 (206) 231-4192,Direct hiring authority for 0861 series is being used to fill this position. This position may be used to fill bargaining and non-bargaining unit positions.,H - G,https://jobs.faa.gov/Login/Apply,Federal Aviation Administration,Department of Transportation,Aerospace Engineering,FV,Full-time,Permanent,2023-04-21T00:00:00.0000,2024-04-18T23:59:59.9970
Public Notice for Aerospace Engineer-Propulsion (Direct Hire),https://www.usajobs.gov:443/GetJob/ViewDetails/721038200,"West Chicago, Illinois; Chicago, Illinois",49773.0 - 92690.0,Per Year,gloria.gatan@faa.gov,1 (206) 231-4192,Direct hiring authority for 0861 series is being used to fill this position. This position may be used to fill bargaining and non-bargaining unit positions.,H - G,https://jobs.faa.gov/Login/Apply,Federal Aviation Administration,Department of Transportation,Aerospace Engineering,FV,Full-time,Permanent,2023-04-21T00:00:00.0000,2024-04-18T23:59:59.9970
Technical Assistant (Field Specialist Technical Assistant) (12 Month Roster),https://www.usajobs.gov:443/GetJob/ViewDetails/729539600,"Chicago, Illinois",42022.0 - 67589.0,Per Year, N/A,866-743-5748,"Click on ""Learn more about this agency"" button below to view Eligibilities being considered and other IMPORTANT information. WHERE CAN I FIND OUT MORE ABOUT OTHER IRS CAREERS? Visit us on the web at www.jobs.irs.gov",6,https://apply.usastaffing.gov/Application/Apply,Internal Revenue Service,Department of the Treasury,Miscellaneous Clerk And Assistant,GS,Full-time,Permanent,2023-06-02T00:00:00.0000,2024-05-31T23:59:59.9970
General Engineer - (Direct Hire) - Remote Work Eligible - BIL,https://www.usajobs.gov:443/GetJob/ViewDetails/691028600,"Chicago, Illinois",66214.0 - 144976.0,Per Year,TRANSJOBS@dot.gov,000-000-0000,"As a general engineer you will join a Volpe team comprised of transportation professionals and you will lead or work on various transportation-related projects. You will be given a wide range of tasks and assignments utilizing your engineering and project management skills for the development, evaluation, and operation of transportation systems. This Direct Hire Public Notice will be used to build a list/inventory of applicants that may be referred as vacancies become available.",14 - 11,https://jobs.monstergovt.com/dot/ros/rosDashboard.hms?O=2&J=88215,Office of the Secretary of Transportation,Department of Transportation,General Engineering,GS,Multiple Schedules,Multiple Appointment Types,2022-11-28T00:00:00.0000,2023-11-28T23:59:59.9970
Aerospace Engineer,https://www.usajobs.gov:443/GetJob/ViewDetails/741520400,"West Chicago, Illinois; Chicago, Illinois",88791.0 - 137651.0,Per Year,kelli.a.cypret@faa.gov,1 (781) 238-7099,"The incumbent serves as an Aerospace Engineer Special Assistant in Aircraft Certification Service (AIR) and serves as the primary focal point for AIR's activities associated with various industry safety teams. This position is responsible for handling a variety of engineering, technical, policy, and other issues for AIR. He/She plans and accomplishes highly complex and challenging projects/programs and other work activities under the minimal direction of any type of management or engineer.",J,https://jobs.faa.gov/Login/Apply,Federal Aviation Administration,Department of Transportation,Aerospace Engineering,FV,Full-time,Permanent,2023-08-05T00:00:00.0000,2023-08-14T23:59:59.9970
DOE Clean Energy Corps (Public Notice),https://www.usajobs.gov:443/GetJob/ViewDetails/739262900,"Chicago, Illinois",37696.0 - 183500.0,Per Year,CEC-Questions@hq.doe.gov, N/A,This is a public notice flyer and applications will not be accepted through this notice. DOE's Clean Energy Corps is made up of staff from more than a dozen offices across DOE. Interested candidates are encouraged to also submit their interest via the DOE Applicant Portal which serves as the DOE Clean Energy Corps virtual job fair. Please see specific DOE Clean Energy Corps announcements on USAJobs.,5 - 15,N/A,Department of Energy - Agency Wide,Department of Energy,Environmental Protection Specialist,GS,Multiple Schedules,Multiple Appointment Types,2023-07-25T16:00:38.2270,2023-12-31T23:59:59.9970
Project Manager (Interdisciplinary),https://www.usajobs.gov:443/GetJob/ViewDetails/701397600,"Chicago, Illinois",82830.0 - 119964.0,Per Year, N/A, N/A,"About the Position: You will function as a Project Manager for the US Army Corps of Engineers, Great Lakes and Ohio River Division, working under general supervision of the Section Chief, who makes assignments in terms of overall objectives and any limitations on the scope of projects. Plan and carry out assignments independently, setting own priorities and coordinating work, as necessary.",12,https://apply.usastaffing.gov/Application/Apply,U.S. Army Corps of Engineers,Department of the Army,Community Planning ,GS,Full-time,Permanent,2023-01-24T00:00:00.0000,2023-12-31T23:59:59.9970
Project Manager (Interdisciplinary),https://www.usajobs.gov:443/GetJob/ViewDetails/701397700,"Chicago, Illinois",82830.0 - 119964.0,Per Year, N/A, N/A,"About the Position: You will function as a Project Manager for the US Army Corps of Engineers, Great Lakes and Ohio River Division, working under general supervision of the Section Chief, who makes assignments in terms of overall objectives and any limitations on the scope of projects. Plan and carry out assignments independently, setting own priorities and coordinating work, as necessary.",12,https://apply.usastaffing.gov/Application/Apply,U.S. Army Corps of Engineers,Department of the Army,Community Planning ,GS,Full-time,Permanent,2023-01-24T00:00:00.0000,2023-12-31T23:59:59.9970
